,Cross section area m2,Embedded Depth (m),Friction angle ϕ (deg),Effective Stress σv' (kPa),Qmax (kN)
224,0.1256637061435917,21.0,36.0,83.7,3200.0
225,0.06157521601035996,25.1,34.0,243.5,3726.0
226,0.08295768100885548,25.6,34.0,248.3,2550.0
227,0.1640296210273937,22.9,28.0,93.6,3700.0
228,0.07306166415004763,8.5,27.6,78.3,951.0
229,0.07306166415004763,4.4,33.9,38.5,412.0
230,0.1256637061435917,13.1,28.0,106.4,1275.0
231,0.1017876019763093,12.8,28.0,104.0,1962.0
232,0.1017876019763093,12.2,28.0,99.1,1962.0
233,0.09621127501618741,39.0,31.0,264.8,4000.0
234,0.05939573610693204,42.0,31.0,278.5,3000.0
235,0.09953822163633899,25.0,31.2,238.0,1779.0
236,0.04908738521234052,11.5,29.3,102.6,590.0
237,0.1256637061435917,20.0,34.0,148.2,1765.0
238,0.07306166415004763,6.1,30.6,35.5,400.0
239,0.1256637061435917,19.5,32.4,78.8,1765.2
240,0.09621127501618741,11.6,28.0,103.3,2900.0
241,0.1963495408493621,25.0,33.9,111.9,1513.0
242,0.1963495408493621,27.0,33.9,119.4,1780.0
243,0.1963495408493621,23.0,33.9,104.4,1157.0
244,0.1963495408493621,12.0,33.9,74.7,979.0
245,0.1963495408493621,23.0,33.9,104.4,1469.0
246,0.1963495408493621,23.0,33.9,104.4,1442.0
247,0.1963495408493621,25.0,33.9,111.9,1736.0
248,0.1963495408493621,12.0,33.9,74.7,1059.0
249,0.1963495408493621,11.0,33.9,69.8,1736.0
250,0.2827433388230814,20.0,28.9,86.5,1424.0
251,0.06157521601035996,8.0,27.1,34.6,97.9
252,0.06157521601035996,16.0,27.1,67.6,249.2
253,0.1963495408493621,23.0,33.9,104.6,1521.0
254,0.1963495408493621,9.0,33.9,75.9,1080.0
255,0.1963495408493621,9.0,33.9,75.9,1080.0
256,0.1963495408493621,14.0,33.9,117.4,1570.0
257,0.1963495408493621,14.0,33.9,117.4,1725.0
258,0.1963495408493621,11.0,33.9,92.5,1766.0
259,0.06379396582195773,11.0,33.1,95.0,590.0
260,0.07306166415004763,14.7,32.3,123.0,310.0
261,0.456036731187748,19.4,32.4,90.0,4003.0
262,0.2922466566001905,16.7,31.5,78.0,2758.0
263,0.456036731187748,20.1,33.0,93.0,4003.0
264,0.456036731187748,20.4,33.1,95.0,4195.0
265,0.2922466566001905,15.8,31.2,73.0,2313.0
266,0.2922466566001905,16.4,31.5,76.0,2535.0
267,0.456036731187748,17.7,31.9,82.0,2469.0
268,0.2922466566001905,13.8,30.6,64.0,1357.0
269,0.2922466566001905,13.5,30.6,63.0,1112.0
270,0.456036731187748,14.1,30.6,65.0,1415.0
271,0.2922466566001905,17.7,31.9,82.0,2847.0
272,0.02269800692218626,12.0,32.0,32.0,65.0
273,0.09953822163633899,15.2,34.0,41.0,960.0
274,0.09953822163633899,15.1,34.0,41.0,965.0
275,0.09953822163633899,17.7,34.0,49.0,943.0
276,0.09953822163633899,17.4,34.0,48.0,885.0
277,0.09953822163633899,11.6,34.0,31.0,534.0
278,0.09953822163633899,12.2,34.0,32.0,658.0
279,0.09953822163633899,12.2,34.0,32.0,409.0
280,0.03141592653589793,3.0,29.8,29.0,34.0
281,0.03141592653589793,3.0,29.8,29.0,44.0
282,0.07306166415004763,17.0,31.5,52.0,820.0
283,0.1963495408493621,17.5,26.0,147.0,1241.0
284,0.1963495408493621,7.5,27.5,61.0,360.0
285,0.07068583470577035,15.0,28.0,86.0,450.0
286,0.07306166415004763,6.4,31.0,37.0,405.0
287,0.07306166415004763,6.4,31.0,37.0,347.0
288,0.07306166415004763,6.4,31.0,37.0,300.0
289,0.04908738521234052,6.0,31.0,37.0,68.0
